Img; Root; X; Y; theta; Diam; bLength; aLength; BirthTime; rootOrder; insertA; parentRoot; pathRoot
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.696162; 6.6182117; 4.8755493; 0.09304788; 1.8977618; 5.1283154; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.7208805; 6.7683635; 4.758272; 0.0896283; 2.0499346; 4.9761424; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.727981; 6.9230027; 4.6515803; 0.09882393; 2.204737; 4.8213406; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.71657; 7.1104255; 4.587781; 0.10726552; 2.3925066; 4.6335707; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.691364; 7.3116536; 4.512976; 0.10198456; 2.595307; 4.43077; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.650695; 7.5128884; 4.54626; 0.08438589; 2.8006105; 4.2254663; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.621865; 7.6848307; 4.469295; 0.0982495; 2.974953; 4.051124; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.574513; 7.875764; 4.4102554; 0.0982495; 3.17167; 3.8544073; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.505278; 8.097905; 4.452539; 0.10160063; 3.4043512; 3.621726; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.45449; 8.288936; 4.369681; 0.094923325; 3.6020176; 3.4240594; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.399889; 8.441972; 4.601732; 0.094923325; 3.7645028; 3.2615743; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.384014; 8.584847; 4.6561103; 0.094923325; 3.908257; 3.11782; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.376958; 8.710083; 4.570492; 0.094923325; 4.033692; 2.9923854; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.352263; 8.882944; 4.6739087; 0.094923325; 4.2083077; 2.8177693; 0.0;0; 0.0;-1;-1
03_05_2014_J2_R001.xml; BMEC1_R001_A1; 10.346902; 9.022228; 4.67162; 0.094547965; 4.3476944; 2.6783826; 0.0;0; 0.0;-1;-1
